provider,domain,title,benefit,conditions,code,code_required,valid_until,valid_until_note,source_url,offer_url,status,fetched_at
HelloFresh,hellofresh.com,Get Free Breakfast for Life + 10 Free Meals on Us,Free Breakfast for Life + 10 Free Meals,"For Life, on first box, One per box with active subscription",,,,Not stated on the official page,https://www.hellofresh.com/eat/coupon-codes-and-promotions,https://www.hellofresh.com/eat/coupon-codes-and-promotions,active,2026-09-11T15:37:43+00:00
Blue Apron,blueapron.com,"A free dozen organic, pasture-raised eggs (code EGGS)","free dozen organic, pasture-raised eggs (code EGGS)",Upcoming order,EGGS,yes,,Not stated on the official page,https://blog.blueapron.com/guides/eggs-your-way-introducing-everyday-essentials,https://blog.blueapron.com/guides/eggs-your-way-introducing-everyday-essentials,active,2026-09-11T15:37:48+00:00
Home Chef,homechef.com,18 Free Meals + Free Shipping on your First Box,18 Free Meals + Free Shipping,On your First Box,,,,Not stated on the official page,https://www.homechef.com/,https://www.homechef.com/,active,2026-09-11T15:37:52+00:00
Factor,factor75.com,Get 50% Off + Free Breakfast for 1 Year,50% Off + Free Breakfast for 1 Year,"For 1 Year, first box",,,,Not stated on the official page,https://www.factor75.com/,https://www.factor75.com/,active,2026-09-11T15:37:55+00:00
Factor,factor75.com,20% off your next month' applies to boxes 2-5,20% off,"Applies to boxes 2-5, next month",,,,Not stated on the official page,https://www.factor75.com/,https://www.factor75.com/,active,2026-09-11T15:37:55+00:00
Marley Spoon,marleyspoon.com,Up to 50% Off,Up to 50% Off,,,,,Not stated on the official page,https://marleyspoon.com/offer/black-friday-rtc-50p,https://marleyspoon.com/offer/black-friday-rtc-50p,active,2026-09-11T15:38:03+00:00
Hungryroot,hungryroot.com,40% off your first order plus 1 free item for life,40% off + 1 free item for life,"Your first order, for life, your first box",,,,Not stated on the official page,https://eat.hungryroot.com/2025-save-big,https://eat.hungryroot.com/2025-save-big,active,2026-09-11T15:38:08+00:00
Hungryroot,hungryroot.com,Choose Your Free Gift for Life,Choose Your Free Gift for Life,For Life,,,,Not stated on the official page,https://www.hungryroot.com/limited-time/,https://www.hungryroot.com/limited-time/,active,2026-09-11T15:38:09+00:00
CookUnity,cookunity.com,"Get 50% off your first week of chef-made, ready-to-eat meals",50% off,Your first week,,,,Not stated on the official page,https://www.cookunity.com/lp/cookunity-discount-code,https://www.cookunity.com/lp/cookunity-discount-code,active,2026-09-11T15:38:12+00:00
Thistle,thistle.co,"Frontline workers get our best sale price, 50% off their first week of Thistle, all year round",50% off,"Frontline workers get our best sale price, 50% off their first week of Thistle, all year round",,,,Not stated on the official page,https://try.thistle.co/specialty_discounts/,https://try.thistle.co/specialty_discounts/,active,2026-09-11T15:38:17+00:00
Gobble,gobble.com,$120 off across 4 boxes,$120 off,Across 4 boxes,,,,Not stated on the official page,https://www.gobble.com/quickmeals-menu/,https://www.gobble.com/quickmeals-menu/,active,2026-09-11T15:38:21+00:00
